# Canonical writer census for issue #5105. Counts include lexical references in comments.
# path	write-reference ceiling	enforcement boundary	review rationale
src/core/persistence/activation.ts	0	coordinator	Trusted private administration requires explicit quiescence and durable refusal records before enabling managed canonical writer enforcement.
src/core/persistence/canonical-projections.ts	9	coordinator	Facts, takes, timeline, chunks and aliases install within the guarded canonical publication transaction before its receipt commits.
src/core/persistence/takes-prepare.ts	3	coordinator	Semantic takes apply only through the journal publication callback after current revision, holder and authority validation.
src/commands/extract-conversation-facts.ts	4	early_refusal	Unsupported managed bulk extraction refuses before queue or provider work; legacy canonical writes retain SQL guard enforcement.
src/commands/extract.ts	6	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/frontmatter.ts	0	filesystem_guard	Batch frontmatter repair preflights every target before the first backup/write.
src/commands/import.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/jobs.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/migrate-engine.ts	11	early_refusal	Managed mode refuses this legacy entry point before its canonical filesystem/provider effects.
src/commands/migrations/v0_13_1.ts	2	engine_guard	Unmanaged metadata batches retain page guards and row locks; managed active Markdown pages route through the canonical grandfather publisher instead of direct SQL.
src/commands/migrations/v0_32_2.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/pages.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/reconcile-links.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/reindex-aliases.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/commands/sources-set-path.ts	1	coordinator	Managed rebind uses native exclusion, exact manifest verification and a retained source-incarnation receipt; unmanaged pointer repair remains explicit.
src/commands/sources.ts	10	coordinator	Managed add/archive/restore/remove/purge/reclone route through source lifecycle; remaining legacy canonical SQL stays fenced.
src/commands/sync.ts	11	coordinator	Managed Markdown sync routes to immutable page requests and an exhausted-cursor checkpoint; unsupported Git pull, code/image and connector paths refuse early.
src/core/agent-install/setup.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/atomic-write.ts	0	filesystem_guard	Atomic page replacement checks the managed root before temporary bytes are written.
src/core/backfill-effective-date.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/background-work.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/backup/quarantine.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/bootstrap/verify.ts	4	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
