sample_id,relation_type,base_conv_idx,full_judged_correct,full_cue_recalled,full_query_rank,no_horizon_judged_correct,no_horizon_cue_recalled,no_horizon_query_rank,no_scene_horizon_judged_correct,no_scene_horizon_cue_recalled,no_scene_horizon_query_rank
sample_009,causal,9,0,0,1,0,0,1,0,0,1
sample_027,causal,7,1,1,1,1,1,1,1,1,1
sample_047,causal,7,1,1,1,1,1,1,1,1,1
sample_054,causal,4,0,0,1,0,0,1,0,0,1
sample_058,causal,8,1,1,1,1,1,1,1,1,1
sample_116,state,6,0,1,,0,1,,0,0,1
sample_128,state,8,0,1,1,1,1,1,1,1,1
sample_148,state,8,1,1,1,1,1,1,1,1,1
sample_160,state,0,1,1,1,1,1,1,1,1,1
sample_166,state,6,0,0,1,0,0,1,0,1,1
sample_214,goal,4,1,0,1,0,0,1,1,0,1
sample_215,goal,5,1,1,1,1,1,1,1,1,1
sample_244,goal,4,1,1,1,1,1,1,1,1,1
sample_265,goal,5,1,1,1,0,1,1,1,1,1
sample_294,goal,4,0,1,1,0,1,1,0,1,1
sample_301,value,1,0,1,1,1,1,1,0,0,1
sample_302,value,2,0,1,1,1,1,1,0,1,1
sample_349,value,9,0,0,1,0,0,1,0,0,1
sample_367,value,7,0,1,1,0,1,1,0,1,1
sample_398,value,8,0,0,,0,0,10,0,0,1
